month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2015-02,2,Category B,722,721,1037,66751
2015-02,2,Category C,185,185,333,53202
2015-02,2,Category D,291,290,396,5800
2015-02,2,Category E,193,193,373,67901
2015-03,1,Category A,987,986,2120,61410
2015-03,1,Category B,723,723,1239,68668
2015-03,1,Category C,186,183,315,56501
2015-03,1,Category D,289,288,343,5501
2015-03,1,Category E,175,162,322,70500
2015-03,2,Category A,987,987,2251,64700
2015-03,2,Category B,723,717,1354,71889
2015-03,2,Category C,184,175,345,59999
2015-03,2,Category D,286,286,385,5610
2015-03,2,Category E,174,172,290,72100
2015-04,1,Category A,988,970,2340,67749
2015-04,1,Category B,722,716,1661,76612
2015-04,1,Category C,188,183,290,64001
2015-04,1,Category D,286,278,442,6312
2015-04,1,Category E,187,165,311,78000
2015-04,2,Category A,987,979,2055,67601
2015-04,2,Category B,728,708,1525,78001
2015-04,2,Category C,194,192,284,53001
2015-04,2,Category D,285,277,376,6801
2015-04,2,Category E,176,163,331,79500
2015-05,1,Category A,1444,1438,2891,68589
2015-05,1,Category B,934,934,1631,77600
2015-05,1,Category C,373,370,545,50098
2015-05,1,Category D,334,321,462,6512
2015-05,1,Category E,292,290,445,78004
2015-05,2,Category A,1434,1431,2351,66590
2015-05,2,Category B,948,948,1401,75002
2015-05,2,Category C,370,365,546,52001
2015-05,2,Category D,334,298,433,6501
2015-05,2,Category E,283,281,364,78001
2015-06,1,Category A,1432,1393,1943,66000
2015-06,1,Category B,929,923,1384,75000
2015-06,1,Category C,371,369,508,50900
2015-06,1,Category D,339,336,430,6509
2015-06,1,Category E,272,267,392,75801
2015-06,2,Category A,1429,1421,1766,61000
2015-06,2,Category B,928,926,1144,71509
2015-06,2,Category C,373,370,481,50502
2015-06,2,Category D,363,359,448,6401
2015-06,2,Category E,272,269,373,74501
2015-07,1,Category A,1466,1464,1891,58700
2015-07,1,Category B,934,933,1225,65501
2015-07,1,Category C,370,370,476,50001
2015-07,1,Category D,330,328,425,6508
2015-07,1,Category E,274,272,411,69001
2015-07,2,Category A,1435,1365,1966,55889
2015-07,2,Category B,930,929,1218,58109
2015-07,2,Category C,371,371,455,50002
2015-07,2,Category D,331,320,486,6312
2015-07,2,Category E,272,270,441,60101
2015-08,1,Category A,1688,1687,2446,56209
2015-08,1,Category B,1057,1054,1634,60789
2015-08,1,Category C,183,183,263,49302
2015-08,1,Category D,356,356,418,6201
2015-08,1,Category E,363,361,607,57885
2015-08,2,Category A,1756,1756,2597,57498
2015-08,2,Category B,1058,1056,1551,62140
2015-08,2,Category C,182,182,282,46501
2015-08,2,Category D,366,319,527,6112
2015-08,2,Category E,363,356,609,61001
2015-09,1,Category A,1688,1688,2553,57089
2015-09,1,Category B,1059,1058,1628,62101
2015-09,1,Category C,182,182,371,46801
2015-09,1,Category D,355,310,473,6512
2015-09,1,Category E,363,358,580,61010
2015-09,2,Category A,1687,1684,2276,55399
